company,location,education,skills,job_type,salary,job_experience,job_role,min_experience,max_experience,experience_level,skill_count,top_skill,salary_lpa
Bukuwarung,Bangalore/Bengaluru,undergraduate,"computer science, analytical skills, analytical, marketing operations, data analyst, data visualization, analytics, sql",full-time,332626.0,5-6,Senior Data Analyst,5.0,6.0,Senior,8,computer science,3.33
Saffron Careers Private Limited,Bangalore/Bengaluru,postgraduate,"analytical, machine learning, javascript, algorithm development, statistical software, data analyst, open source, analytics",contract,1414623.5,2-6,Senior Data Analyst,2.0,6.0,Senior,8,analytical,14.15
Anicalls,Bangalore/Bengaluru,postgraduate,"it skills, oracle, sap, business analysis, workflow, business rules, data analyst, informatica",contract,543604.0,5-6,Sr. SAP Hana Data Analyst,5.0,6.0,Senior,8,it skills,5.44
FINNOVATION TECH SOLUTIONS PRIVATE LIMITED,Bangalore/Bengaluru(Old Madras Road),undergraduate,"sql, sql programming, data analytics, pythonprogramming, python, numphy, data organization, data analysis tools",contract,1170647.0,5-6,Senior Data Analyst,5.0,6.0,Senior,8,sql,11.71
Otis,Bangalore/Bengaluru,postgraduate,"training, analyst, sales, data science, machine learning, marketing operations, individual contributor, forecasting",full-time,1122340.0,2-3,Senior Data Science Analyst,2.0,3.0,Mid,8,training,11.22
Bloom Consulting Services,Bengaluru,undergraduate,"analytical skills, sql queries, consulting, schema, senior data analyst, qlikview, big data, fact",contract,615572.0,3-5,Sr. Data Analyst,3.0,5.0,Mid,8,analytical skills,6.16
CodeHall Technology,Bengaluru,postgraduate,"analytics, matlab, pig, r, hbase, hadoop, sas, sql",contract,822041.0,2-6,Sr Data Analyst,2.0,6.0,Senior,8,analytics,8.22
Shell,Bangalore/Bengaluru,undergraduate,"collibra, data cataloguing, data governance, agile framework, metadata management, data management, data analysis, azure devops",contract,2104233.0,5-6,Senior Data Analyst - Collibra,5.0,6.0,Senior,8,collibra,21.04
Phenom Placement Consultancy,Bengaluru,undergraduate,"data validation, senior analyst, hyperion, analytical, server management, investment banking, informatica, principal",contract,557100.0,4-6,Senior Analyst - Data Strategy & Infrastructure,4.0,6.0,Senior,8,data validation,5.57
jupiter,Bengaluru,postgraduate,"statistical programming, data science, risk analytics, analytical, schema, cms, html, data warehousing",full-time,806502.0,0-7,Senior Data Analyst,0.0,7.0,Senior,8,statistical programming,8.07
CodeHall Technology,Bengaluru,undergraduate,"data analysis, troubleshooting, it skills, product management, retail, diagnostics, manager technology, forensic",contract,2448209.0,7-8,Sr Data Analyst,7.0,8.0,Senior,8,data analysis,24.48
Brandmuscle,Bangalore/Bengaluru,undergraduate,"it skills, quality assurance, azure, manager quality assurance, data modeling, business analysis, xml, data analyst",contract,2440233.0,3-5,BI Developer / Senior Data Analyst,3.0,5.0,Mid,8,it skills,24.4
DOCS,"Chennai, Bangalore/Bengaluru",postgraduate,"analytical skills, data analysis, reporting analyst, quality check, management, data reporting, process improvement, metrics analysis",contract,2338157.0,6-7,Senior Data and Reporting Analyst,6.0,7.0,Senior,8,analytical skills,23.38
DOCS,"Chennai, Bangalore/Bengaluru",postgraduate,"analytical skills, data analysis, senior management, quality check, reporting analyst, data reporting, process improvement, metrics analysis",full-time,1547299.0,3-5,Senior Data & amp ; Reporting Analyst,3.0,5.0,Mid,8,analytical skills,15.47
Conviva,Bangalore/Bengaluru,postgraduate,"data analysis, metadata, social media, analytical, data processing, data quality, data mining, cctv",contract,1630536.0,1-7,Senior Data Analyst,1.0,7.0,Senior,8,data analysis,16.31
TALENT500 TECH (INDIA) PRIVATE LIMITED,Bangalore/Bengaluru,undergraduate,"sap webi, sql",full-time,887122.0,7-8,Senior Data Analyst - SQL | 3M-TCOE,7.0,8.0,Senior,2,sap webi,8.87
PM Group,Bangalore/Bengaluru,undergraduate,"process automation, computer science, consulting, power bi, data analytics, life sciences, html, business strategy",contract,1414623.5,6-8,Senior Data Analyst,6.0,8.0,Senior,8,process automation,14.15
Jupiter.money,Bangalore/Bengaluru,postgraduate,"data science, r, risk analytics, data analyst, data analytics, marketing analytics, consumer insights, python",full-time,1069706.0,0-1,Senior Data Analyst,0.0,1.0,Entry,8,data science,10.7
ReSource Pro Operational Solutions Pvt Ltd.,Bangalore/Bengaluru,undergraduate,"data visulization, data modelling, r, open refine, statistical analytics, talendsuite, data and analytics, data mapping",contract,1064658.0,4-5,"Senior Data Analyst, Data & Analytics",4.0,5.0,Mid,8,data visulization,10.65
Ciena,Gurgaon/Gurugram,undergraduate,"data science, business intelligence, power bi, advanced analytics, alteryx, predictive modelling, advanced excel, data modeling",contract,1810181.0,4-5,"Senior Analyst, Business Intelligence & Data Science",4.0,5.0,Mid,8,data science,18.1
Accenture,Mumbai,postgraduate,"publishing, consulting, analytics, sql, python, architecture, data science, artificial intelligence",full-time,2020168.0,6-7,Senior Analyst-Data Science,6.0,7.0,Senior,8,publishing,20.2
Accenture,Gurgaon/Gurugram,undergraduate,"publishing, data management, consulting, ssis, analytics, architecture, artificial intelligence, sql server integration services",full-time,636989.0,1-5,Senior Analyst-Data Management,1.0,5.0,Mid,8,publishing,6.37
Accenture,Mumbai,postgraduate,"publishing, data management, consulting, sql, python, it skills, artificial intelligence, cloud",contract,880888.0,2-3,Senior Analyst-Data Management,2.0,3.0,Mid,8,publishing,8.81
Accenture,Mumbai,postgraduate,"backend, data management, database design, consulting, analytics, publishing, web services, architecture",contract,2363126.0,3-4,Senior Analyst-Data Management,3.0,4.0,Mid,8,backend,23.63
Accenture,Noida,unknown,"content management, publishing, master data management, consulting, operations, it skills, cloud, financial operations",contract,2426414.0,5-6,Senior Analyst-Finance Data Maintenance,5.0,6.0,Senior,8,content management,24.26
Ameriprise Financial,Gurgaon/Gurugram,postgraduate,"service management, remediation, operations analyst, data analysis, it risk, data management, financial planning, asset management",contract,517103.0,4-7,Sr Tech Operations Analyst-Data Management Governance,4.0,7.0,Senior,8,service management,5.17
Accenture,Mumbai,undergraduate,"consulting, data mining, analytics, publishing, excel, architecture, data science, machine learning",full-time,1990920.0,4-6,Senior Analyst-Data Science,4.0,6.0,Senior,8,consulting,19.91
Accenture,Hyderabad/Secunderabad,postgraduate,"it skills, testing, artificial intelligence, cloud, aws, analyst, data analysis, publishing",full-time,463132.0,6-7,Senior Analyst-Data Management,6.0,7.0,Senior,8,it skills,4.63
eClerx,Mumbai,undergraduate,"margins, collateral management, loan services, investment banking, middle office, finance, reference data, derivatives",full-time,604150.0,2-6,Financial Markets-Senior Analyst- Reference Data - Product,2.0,6.0,Senior,8,margins,6.04
Everi India,"Hyderabad/Secunderabad, Mangaluru/Mangalore, Chennai",postgraduate,"python, sql, alteryx, knime, tableau, azure, it skills, cloud",full-time,2234499.0,5-7,Senior Data Science Analyst,5.0,7.0,Senior,8,python,22.34
Accenture,Bangalore/Bengaluru,undergraduate,"data science, predictive modeling, data models, data mining, machine learning, analytics",full-time,2217489.0,5-6,Analyst- Data Science,5.0,6.0,Senior,6,data science,22.17
TresVista Financial,"Mumbai, Pune, Bangalore/Bengaluru",undergraduate,"computer science, industry research, fund administration, power bi, data analytics, dbms, qlikview, operations",full-time,2285285.0,7-8,Analyst - Data Intelligence Group,7.0,8.0,Senior,8,computer science,22.85
Ocwen,Bangalore/Bengaluru,unknown,"informatica powercenter, bpo, travel, scheduling tool, sql queries, etl scripts",full-time,2068124.0,0-5,"Information Analyst, Data Management",0.0,5.0,Mid,6,informatica powercenter,20.68
Bioclinica,Bangalore/Bengaluru,unknown,"cro, data analysis, data collection, clinical trials, data processing, data quality, manager quality control, troubleshooting",full-time,1637768.0,2-3,Data Analyst I,2.0,3.0,Mid,8,cro,16.38
Heart It Out,Bangalore/Bengaluru,unknown,"tableau, google analytics, mysql, healthcare, http, data analyst, manager quality control, data mining",contract,2032472.0,7-8,Data Analyst Internship,7.0,8.0,Senior,8,tableau,20.32
ARDEM Data Services Pvt. Ltd,Remote,undergraduate,"bill of lading, invoice processing, logistics, data processing, data entry",contract,2375587.0,2-4,Data Analyst-Logistics Billing Division,2.0,4.0,Mid,5,bill of lading,23.76
St. JohnÃ¢Â?Â?s Research Institute,Bangalore/Bengaluru,undergraduate,"r, logistic regression, linear regression, data analysis, technical reports, research analyst, machine learning, statistics",contract,1758255.0,4-5,Research Analyst - BIRAC Ki Data,4.0,5.0,Mid,8,r,17.58
Enrich talents,Bangalore/Bengaluru,postgraduate,"data analysis, cloud analytics, big data analytics, advanced excel, ecommerce, data mining, statistics",full-time,1942133.0,7-8,Data Analyst,7.0,8.0,Senior,7,data analysis,19.42
St. John’s Research Institute,Bengaluru,postgraduate,"nutrition, coding, crc, data analyst, research, bioinformatics, python",contract,1414623.5,2-3,Data Analyst,2.0,3.0,Mid,7,nutrition,14.15
Accenture,Bangalore/Bengaluru,postgraduate,"content management, publishing, consulting, financial planning, operations, business administration, master data management, data governance",full-time,1542689.0,7-8,Analyst-Finance Data Maintenance,7.0,8.0,Senior,8,content management,15.43
Accenture,Bangalore/Bengaluru,undergraduate,"publishing, consulting, business intelligence, analytics, sql, it skills, artificial intelligence, architecture",full-time,1599427.0,7-8,Analyst-Data Visualization,7.0,8.0,Senior,8,publishing,15.99
Accenture,Bangalore/Bengaluru,unknown,"data management, consulting, microsoft, analytics, sql, it skills, artificial intelligence, power bi",full-time,2135510.0,0-6,Analyst-Data Management,0.0,6.0,Senior,8,data management,21.36
VOLVO ASSET FINANCE INDIA PRIVATE LIMITED,Bangalore/Bengaluru,undergraduate,"computer science, usage, simulation, construction equipment, product planning, data analyst, product support, analytics",contract,1414623.5,0-3,Data Analyst,0.0,3.0,Mid,8,computer science,14.15
Deutsche Bank,Bangalore/Bengaluru,postgraduate,"diversity and inclusion, data analyst",contract,672906.0,6-7,Reference Data Analyst,6.0,7.0,Senior,2,diversity and inclusion,6.73
MILLION MINDS INFOTECH PRIVATE LIMITED,Bangalore/Bengaluru,undergraduate,"sap abap, sap bw, abap, bw, it skills, sap, data analyst",full-time,596420.0,3-5,Hiring For Data Analyst with SAP ABAP & BW - C2H Wipro,3.0,5.0,Mid,7,sap abap,5.96
Schneider Electric,Gurgaon/Gurugram,undergraduate,"data cleansing, data migration, data management, project management, data quality, install base, service marketing, continuous improvement",contract,1100056.0,0-6,Deputy Manager - Data & Business Analyst,0.0,6.0,Senior,8,data cleansing,11.0
ASSA ABLOY Opening Solutions,Chennai,undergraduate,"computer science, rdbms, database design, postgresql, mysql, agile, oracle, operations",contract,2411088.0,0-7,Senior Lead Data Engineer,0.0,7.0,Senior,8,computer science,24.11
Freshdesk,Chennai,unknown,"spark, python, ruby, solr, jvm, java, cloudera, hdfs",contract,1495641.0,5-7,Lead/Senior Software Engineer - Big Data,5.0,7.0,Senior,8,spark,14.96
Persistent,Bangalore/Bengaluru,postgraduate,"aws glue, python, pyspark",contract,1461937.0,4-6,Lead Data Engineer,4.0,6.0,Senior,3,aws glue,14.62
Wells Fargo,Bangalore/Bengaluru,undergraduate,"python, it skills, software development, testing, cloud, tableau, webservices, ssrs",contract,1141767.0,7-8,Lead Data Engineer,7.0,8.0,Senior,8,python,11.42
GLOBALFOUNDRIES,Bangalore/Bengaluru,undergraduate,"pyspark, software development life cycle, snowflake, production engineering, big data, data warehousing, aws, manufacturing engineering",contract,2099622.0,4-6,Sr Analyst Data Engineer DevOp,4.0,6.0,Senior,8,pyspark,21.0
Smart Cube,Noida,undergraduate,"analyst, statistical modeling, machine learning, scheduling, natural language processing, digital marketing, big data, business understanding",full-time,2188374.0,3-4,Senior Analyst Data Engineering,3.0,4.0,Mid,8,analyst,21.88
Smart Cube,Noida,undergraduate,"statistical modeling, machine learning, scheduling, natural language processing, digital marketing, big data, business understanding, data warehousing",full-time,875316.0,0-5,Senior Analyst - Data Engineering,0.0,5.0,Mid,8,statistical modeling,8.75
Accenture,Bangalore/Bengaluru,undergraduate,"pyspark, sql, python, databases, azure, databricks, big data, data prep",full-time,2012469.0,2-3,Ecosystem Senior Data Engineer,2.0,3.0,Mid,8,pyspark,20.12
Becton Dickinson India Pvt Ltd,Bangalore/Bengaluru,undergraduate,"computer science, cloud computing, data analysis, sap, linux, mis, analytical, agile",contract,1930029.0,7-8,Senior Data Engineer,7.0,8.0,Senior,8,computer science,19.3
Visa,Bangalore/Bengaluru,postgraduate,"it skills, java, software development, testing, selenium, big data, jenkins, computer science",full-time,1919245.0,2-3,Sr . Data Engineer,2.0,3.0,Mid,8,it skills,19.19
Huquo Consulting Pvt. Ltd,"Gurgaon/Gurugram, Bangalore/Bengaluru",postgraduate,"data management, data modeling, data analytics, analytics, python, sql",full-time,318445.0,2-6,Senior Data Analyst - KPO,2.0,6.0,Senior,6,data management,3.18
Telstra,"Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru",undergraduate,"data engineering, hive, cloud, spark, gcp, impala, data warehousing, data modeling",contract,714954.0,6-8,Urgent opening For Sr Data Engineer,6.0,8.0,Senior,8,data engineering,7.15
HCL Technologies,"Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru",postgraduate,"hive, azure data, it skills, devops, azure, data modelling, cd, adf",contract,1799944.0,2-3,HCL is hiring For Senior Data Engineer - hyderabad/Pune/Bangalore,2.0,3.0,Mid,8,hive,18.0
Genpact,"Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru",undergraduate,"database warehouse, talend etl, sql database",contract,676487.0,6-8,ATM Senior Data Engineer Role at Genpact,6.0,8.0,Senior,3,database warehouse,6.76
Cyient,Hyderabad/Secunderabad,undergraduate,"it skills, python, cloud, ms sql, big data, aws, sharepoint, automation",contract,655784.0,1-5,Data Engineer and Analyst,1.0,5.0,Mid,8,it skills,6.56
Wells Fargo International Solutions Private Ltd,Bangalore/Bengaluru,postgraduate,"data engineering, data warehouse applications, ab initio, unix, scala, hadoop, big data, teradata",contract,2321639.0,0-2,Senior Data Engineer,0.0,2.0,Entry,8,data engineering,23.22
Visa,Bangalore/Bengaluru,undergraduate,"it skills, java, j2ee, python, testing, devops, javascript, hibernate",contract,1980365.0,0-1,Senior Data Engineer,0.0,1.0,Entry,8,it skills,19.8
Optum,Bangalore/Bengaluru,unknown,"big data, hadoop, scala, data visualization, spark, data architecture, etl, sql",contract,2357875.0,4-5,Senior Big Data Engineer,4.0,5.0,Mid,8,big data,23.58
Visa,Bangalore/Bengaluru,undergraduate,"devops, hive, data analytics, hadoop, airflow, spark, nifi, agile",full-time,340962.0,7-8,Sr . Data Engineer,7.0,8.0,Senior,8,devops,3.41
Visa,Bangalore/Bengaluru,undergraduate,"it skills, java, python, cloud, oracle, node.js, javascript, cloud computing",full-time,1021548.0,4-5,Sr . Data Engineer,4.0,5.0,Mid,8,it skills,10.22
Visa,Bangalore/Bengaluru,postgraduate,"opensource tech stack, java, software development, big data, it skills, unix, computer science, automation",contract,2317148.0,3-5,Sr . Data Engineer,3.0,5.0,Mid,8,opensource tech stack,23.17
Visa,Bangalore/Bengaluru,postgraduate,"c#, manager quality assurance, database design, configuration management, javascript, olap, business intelligence, analytics",contract,1092512.0,6-7,"Senior Data Engineer ( Power BI , SQL )",6.0,7.0,Senior,8,c#,10.93
Visa,Bangalore/Bengaluru,postgraduate,"c#, manager quality assurance, configuration management, system integration, javascript, olap, ssis, business intelligence",contract,396490.0,6-8,"Senior Data Engineer - ( MSBI , SQL )",6.0,8.0,Senior,8,c#,3.96
Ericsson Global Services,Bangalore/Bengaluru,unknown,"erp, data management, analytical, data processing, php, html, microsoft, oracle",full-time,772986.0,7-8,Senior Data Engineer,7.0,8.0,Senior,8,erp,7.73
Ericsson Global Services,Bangalore/Bengaluru,postgraduate,"bidding, data management, analytical, data processing, php, google adwords, html, data quality",contract,1246344.0,4-5,Senior Data Engineer,4.0,5.0,Mid,8,bidding,12.46
Visa,Bangalore/Bengaluru,postgraduate,"computer science, nosql, rdbms, database design, mysql, agile, data mining, project delivery",contract,1304998.0,0-6,"Sr Data Engineer ( Talend , BigData )",0.0,6.0,Senior,8,computer science,13.05
Uber,Bangalore/Bengaluru,undergraduate,"daily accounting, data modeling, scala, agile, programming, troubleshooting, data warehousing, system implementation",full-time,811290.0,4-6,Senior Data Engineer,4.0,6.0,Senior,8,daily accounting,8.11
Thomson Reuters,Bangalore/Bengaluru,undergraduate,"computer science, automation, data modeling, diversity and inclusion, consulting, machine learning, customer support, taxation",full-time,1676381.0,6-7,Sr. Data Engineer,6.0,7.0,Senior,8,computer science,16.76
DXC Technology,Bangalore/Bengaluru,postgraduate,"azure databricks, ms azure ci, devops, azure, azure data, pyspark, adf, cd",full-time,1630299.0,6-8,Senior Professional -Azure data engineer,6.0,8.0,Senior,8,azure databricks,16.3
Thomson Reuters,Bangalore/Bengaluru,undergraduate,"computer science, version control, git, linux, analytical, postgresql, shell scripting, agile",contract,1173246.0,5-6,Senior Data Engineer,5.0,6.0,Senior,8,computer science,11.73
Visa,Bangalore/Bengaluru,undergraduate,"it skills, big data, tableau, microstrategy, performance tuning, automation, analytical, configuration management",full-time,1553601.0,6-8,Senior Data Engineer,6.0,8.0,Senior,8,it skills,15.54
DXC Technology,Bangalore/Bengaluru,undergraduate,professional,contract,1414623.5,7-8,Senior Professional Azure Data Engineer,7.0,8.0,Senior,1,professional,14.15
Visa,Bangalore/Bengaluru,postgraduate,"it skills, java, j2ee, testing, devops, angularjs, big data, computer science",full-time,1859553.0,5-7,Sr . Data Engineer,5.0,7.0,Senior,8,it skills,18.6
Moody's,Bangalore/Bengaluru,undergraduate,"cybersecurity, powershell, cloud security, linux, information security, varonis, nist, cissp",contract,1986357.0,7-8,Sr. Cybersecurity Engineer - Data Loss Prevention,7.0,8.0,Senior,8,cybersecurity,19.86
Ericsson Global Services,Bangalore/Bengaluru,postgraduate,"c++, google analytics, email marketing, social networking, google adwords, html, http, microsoft",full-time,486314.0,0-4,Senior Data Engineer,0.0,4.0,Mid,8,c++,4.86
Visa,Bangalore/Bengaluru,unknown,"unix, computer science, version control, sas, consulting, machine learning, scheduling, data quality",contract,1557108.0,3-4,Senior Data Engineer,3.0,4.0,Mid,8,unix,15.57
Visa,Bangalore/Bengaluru,postgraduate,"it skills, python, testing, data science, unix, computer science, version control, sas",contract,1008141.0,6-7,Senior Data Engineer,6.0,7.0,Senior,8,it skills,10.08
Visa,Bangalore/Bengaluru,undergraduate,"cloud computing, front end, data management, db2, coding, data structures, mvc, oracle",full-time,1468230.0,0-6,Sr . Data Engineer,0.0,6.0,Senior,8,cloud computing,14.68
HCL Technologies,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)",postgraduate,"python, data engineering, big data, sql, hive, spark, kafka, pyspark",contract,2013309.0,4-6,Senior Data Engineer at HCL,4.0,6.0,Senior,8,python,20.13
Visa,Bangalore/Bengaluru,postgraduate,"it skills, software development, testing, maven, hibernate, core java, production support, db2",full-time,1612495.0,2-7,Sr . Data Engineer,2.0,7.0,Senior,8,it skills,16.12
Visa,Bangalore/Bengaluru,postgraduate,"it skills, software development, testing, maven, production support, db2, coding, mysql",contract,631520.0,3-7,Senior Data Engineer,3.0,7.0,Senior,8,it skills,6.32
Visa,Bangalore/Bengaluru,unknown,"hibernate, jquery, db2, rdbms, xml, javascript, html, mvc",contract,1425393.0,0-4,Sr . Data Engineer,0.0,4.0,Mid,8,hibernate,14.25
Visa,Bangalore/Bengaluru,postgraduate,"it skills, java, python, big data, unix, core java, linux, db2",contract,1414623.5,1-2,Senior Data Engineer,1.0,2.0,Entry,8,it skills,14.15
Walmart,Bangalore/Bengaluru,postgraduate,"it skills, java, software development, cloud, product management, big data, azure, quality standards",contract,2332666.0,5-7,Senior Software Engineer (Big data Engineering),5.0,7.0,Senior,8,it skills,23.33
Philips,Bangalore/Bengaluru,postgraduate,"data analysis, software design, rdbms, coding, tdd, agile, data quality, business intelligence",full-time,1753372.0,5-7,Senior Specialist I- Sr Data Engineer,5.0,7.0,Senior,8,data analysis,17.53
Visa,Bangalore/Bengaluru,postgraduate,"it skills, java, python, software development, cloud, big data, computer science, hive",full-time,1430626.0,0-7,Senior Data Engineer,0.0,7.0,Senior,8,it skills,14.31
Ness,Bangalore/Bengaluru,postgraduate,"it skills, python, oracle, ms sql, big data, aws, tableau, business objects",contract,2117387.0,7-8,Sr Data Engineer,7.0,8.0,Senior,8,it skills,21.17
Visa,Bangalore/Bengaluru,unknown,"it skills, java, python, big data, unix, computer science, core java, linux",contract,1677242.0,7-8,Senior Data Engineer,7.0,8.0,Senior,8,it skills,16.77
Sapiens International,Bangalore/Bengaluru,postgraduate,"data migration, data analysis, change management, enterprise architecture, system integration, billing, schema, toad",contract,1007277.0,1-2,Sr Data Engineer,1.0,2.0,Entry,8,data migration,10.07
Thomson Reuters,Bangalore/Bengaluru,unknown,"bpo, troubleshooting, computer science, nosql, architecture, data modeling, scrum, oracle",full-time,1471479.0,0-2,Senior BI Data Engineer,0.0,2.0,Entry,8,bpo,14.71
Thomson Reuters,Bangalore/Bengaluru,postgraduate,"bpo, troubleshooting, computer science, nosql, architecture, data modeling, scrum, oracle",contract,1614699.0,2-3,Senior AI Data Engineer,2.0,3.0,Mid,8,bpo,16.15
Visa,Bangalore/Bengaluru,undergraduate,"it skills, java, python, software development, testing, big data, sharepoint, unix",full-time,1477164.0,1-5,Senior Data Engineer,1.0,5.0,Mid,8,it skills,14.77
VISA,Bangalore/Bengaluru,undergraduate,"it skills, java, j2ee, software development, testing, angularjs, big data, maven",contract,1529703.0,2-3,Sr . Data Engineer - Java Full Stack,2.0,3.0,Mid,8,it skills,15.3
NVIDIA,Bangalore/Bengaluru,unknown,software engineer data center,contract,375863.0,0-6,Senior Software Engineer - Data Center,0.0,6.0,Senior,1,software engineer data center,3.76
Google,Bangalore/Bengaluru,postgraduate,"it skills, software development, unix, c++, asic, linux, networking, coding",contract,1001770.0,2-4,"Senior Software Engineer, Data Center Networking",2.0,4.0,Mid,8,it skills,10.02
Walmart,Bangalore/Bengaluru,postgraduate,"software development, big data, hadoop, java, spark, nosql, it skills, product management",full-time,2438703.0,1-2,Senior Software Engineer (Big Data),1.0,2.0,Entry,8,software development,24.39
AgreeYa,Noida,postgraduate,"oracle, sql, data visualization, data analysis, r, hive, it skills, oracle sql",contract,848752.0,6-7,Data Engineer / Analyst,6.0,7.0,Senior,8,oracle,8.49
Jobs Accuracy,Bangalore/Bengaluru,postgraduate,"tableau, r, power bi, dimensional modeling, data analyst, qlikview, data warehousing, etl",full-time,653066.0,1-5,Senior Data Analyst - R/Tableau,1.0,5.0,Mid,8,tableau,6.53
Jobs Accuracy,Bangalore/Bengaluru,postgraduate,"sql, r, power bi, dimensional modeling, data analyst, qlikview, data warehousing, tableau",contract,824641.0,0-6,Senior Data Analyst,0.0,6.0,Senior,8,sql,8.25
Jobs Accuracy,Bangalore/Bengaluru,undergraduate,"data analysis, r, power bi, dimensional modeling, data analyst, qlikview, data warehousing, tableau",contract,1493307.0,7-8,Senior Data Analyst - R/Tableau,7.0,8.0,Senior,8,data analysis,14.93
Ally - eXecutive.com,Bangalore/Bengaluru,undergraduate,"sas, sql, project execution, business rules, data structures, data analysis, data reporting, analytics",contract,560186.0,5-6,Sr Data analyst,5.0,6.0,Senior,8,sas,5.6
Ally - eXecutive.com,Bangalore/Bengaluru,undergraduate,"sas, marketing analytics, sql, it skills, testing, tableau, data analyst, r",full-time,2450988.0,1-3,Data Analyst / Sr Data analyst,1.0,3.0,Mid,8,sas,24.51
The Talent Spark,Navi Mumbai,postgraduate,"dataa analyst, data analytics, power bi, css, tableau, python, sql, html",full-time,2009715.0,5-6,Senior Data Analyst,5.0,6.0,Senior,8,dataa analyst,20.1
Consult ShekharPandey,Bangalore/Bengaluru,undergraduate,"agile, analytical, it skills, product management, user story, business analyst, uat, data analytics",contract,2024864.0,6-7,Senior Business Analyst - Product Management/Data Insights,6.0,7.0,Senior,8,agile,20.25
iMindYourBusiness,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Ahmedabad, Delhi / NCR, Bangalore/Bengaluru",undergraduate,"python, sql server, vba, advanced excel, c++, it skills, data science, artificial intelligence",full-time,351643.0,5-7,Data Analyst - Python/Artificial Intelligence,5.0,7.0,Senior,8,python,3.52
iMindYourBusiness,"Kolkata, Mumbai, Visakhapatnam, Hyderabad/Secunderabad, Pune, Chennai, Ahmedabad, Delhi / NCR, Bangalore/Bengaluru",postgraduate,"c++, artificial intelligence, python, sql server, advanced excel, vba, it skills, data science",contract,792466.0,3-4,Data Analyst - Python/Artificial Intelligence,3.0,4.0,Mid,8,c++,7.92
Mouser Electronics,Bangalore/Bengaluru,unknown,"communication skills, electrical engineering",contract,2427751.0,5-7,Opening For Technical Data Engineer at Bangalore,5.0,7.0,Senior,2,communication skills,24.28
Leading US MNC into analytics,"Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",postgraduate,"sas, data analytics, sql",full-time,1329879.0,3-4,SAS Analyst / data Analyst / Business analyst - Sas + SQL,3.0,4.0,Mid,3,sas,13.3
Anicalls,Bangalore/Bengaluru,postgraduate,"it skills, python, testing, data science, cloud, aws, tableau, ticketing",contract,1035649.0,1-3,Business Data Lead Analyst,1.0,3.0,Mid,8,it skills,10.36
Grofers,Gurgaon/Gurugram,postgraduate,"r, analytical skills, problem solving, qlikview, data analyst, tableau, supply chain management, statistics",full-time,1966721.0,0-2,Lead Data Analyst,0.0,2.0,Entry,8,r,19.67
Google,Hyderabad/Secunderabad,undergraduate,"data analysis, python, analytics, r, sql, it skills, cloud, project management",contract,2403400.0,5-6,"Lead Data Analyst, Payments, Trust and Safety",5.0,6.0,Senior,8,data analysis,24.03
Google,Hyderabad/Secunderabad,postgraduate,"python, android, ios, communication, analytics, php, go, analysis",full-time,931379.0,1-3,Lead Data Analyst - Google Ads/Trust and Safety,1.0,3.0,Mid,8,python,9.31
Gartner India Research &amp; Advisory Services Pvt Ltd,"Mumbai, Gurgaon/Gurugram",postgraduate,"it skills, python, data science, oracle, computer science, data analysis, mysql, data mining",full-time,892527.0,4-5,Senior Data Analyst,4.0,5.0,Mid,8,it skills,8.93
PwC,Bangalore/Bengaluru,unknown,"performance tuning, leadership development, architecture, agile, process quality, big data, aws, sql",contract,945181.0,1-5,AWS Data Engineers - Senior Associate,1.0,5.0,Mid,8,performance tuning,9.45
PwC,Bangalore/Bengaluru,postgraduate,gcp,contract,2000174.0,1-6,GCP Data engineer - Senior Associate,1.0,6.0,Senior,1,gcp,20.0
AbsolutData Research Analytics Solutions Pvt. Lt,New Delhi,undergraduate,"data science, statistical modeling, data mining, data visualization, web analytics, tableau, machine learning, adobe analytics",contract,1610466.0,4-5,Web Analytics Data Insights Analyst / Sr. Analyst,4.0,5.0,Mid,8,data science,16.1
idfc first bank,Mumbai,unknown,"retail banking, senior data analyst, data analyst, management, mis executive",contract,697909.0,3-4,Senior Data Analyst-Turbo Cross Sell,3.0,4.0,Mid,5,retail banking,6.98
United Airlines,Gurgaon/Gurugram,undergraduate,"campaign analytics, data analysis, sql",full-time,1789985.0,4-6,Senior Analyst- Loyalty Data Analytics,4.0,6.0,Senior,3,campaign analytics,17.9
Pratibha Analytics,Hyderabad,undergraduate,"technical product configuration, c++, c, design, mysql, javascript, integration php, html",contract,557601.0,1-5,Senior Data Analysts,1.0,5.0,Mid,8,technical product configuration,5.58
AdviserLogic,Mumbai,undergraduate,"data analysis, manager quality assurance, analytical, data research analyst, data collection, market research, data quality, asset management",full-time,2331114.0,6-8,Senior Data Research Analyst,6.0,8.0,Senior,8,data analysis,23.31
SANGHVI BEAUTY & TECHNOLOGIES PRIVATE LIMITED,"Delhi / NCR, Mumbai (All Areas)",unknown,"sql, r, power bi, advanced excel, google analytics, tableau, python",contract,968405.0,7-8,Data Analyst / Senior Data Analyst role,7.0,8.0,Senior,7,sql,9.68
