company,location,education,skills,job_type,salary,job_experience,job_role,min_experience,max_experience,experience_level,skill_count,top_skill,salary_lpa,location_type,primary_city
Infostretch solutions Pvt. Ltd.,pune,unknown,"engineering services, security compliance, front end, git, web services, agile, mongodb, business modeling",contract,2405259.0,4-5,Senior Technical Lead (Data Engineer),4.0,5.0,Mid,8,engineering services,24.05,Onsite,pune
Infostretch solutions Pvt. Ltd.,pune,undergraduate,"engineering services, san, front end, git, dom, javascript, agile, business modeling",full-time,373411.0,3-4,Senior Technical Lead (Data Engineer),3.0,4.0,Mid,8,engineering services,3.73,Onsite,pune
Infostretch solutions Pvt. Ltd.,pune,postgraduate,"san, metadata, functional testing, risk assessment, agile, regression testing, scrum, customer service",contract,1041425.0,6-8,Senior Technical Lead (Data Engineer),6.0,8.0,Senior,8,san,10.41,Onsite,pune
Infostretch solutions Pvt. Ltd.,pune,undergraduate,"business process, engineering services, san, implementation analyst, agile, html, business modeling, customer service",full-time,948104.0,1-6,Senior Technical Lead (Data Engineer),1.0,6.0,Senior,8,business process,9.48,Onsite,pune
Infostretch solutions Pvt. Ltd.,pune,undergraduate,"san, automation, manual testing, functional testing, agile, test planning, test cases, jira",full-time,1050863.0,6-7,Senior Technical Lead (Data Engineer),6.0,7.0,Senior,8,san,10.51,Onsite,pune
Infostretch solutions Pvt. Ltd.,pune,postgraduate,"api, jenkins, java, web testing, selenium, agile, appium, cypress",full-time,1414623.5,3-4,Senior Technical Lead (Data Engineer),3.0,4.0,Mid,8,api,14.15,Onsite,pune
Infostretch solutions Pvt. Ltd.,pune,undergraduate,"san, automation, networking, configuration management, agile, customer service, open source, information technology",full-time,2106547.0,2-4,Senior Technical Lead (Data Engineer),2.0,4.0,Mid,8,san,21.07,Onsite,pune
Infostretch solutions Pvt. Ltd.,pune,unknown,"sql stored procedures, databases, mssql, git, aws rds, sql, communication, it skills",contract,1657633.0,2-4,Senior Technical Lead (Data Engineer),2.0,4.0,Mid,8,sql stored procedures,16.58,Onsite,pune
Infostretch solutions Pvt. Ltd.,pune,undergraduate,"communication, microservices, spring boot, api, java, aws, anypoint, engineering services",full-time,836493.0,0-4,Senior Technical Lead (Data Engineer),0.0,4.0,Mid,8,communication,8.36,Onsite,pune
Infostretch solutions Pvt. Ltd.,pune,postgraduate,"it skills, testing, react.js, javascript, aws, san, front end, dom",contract,2316372.0,7-8,Senior Technical Lead (Data Engineer),7.0,8.0,Senior,8,it skills,23.16,Onsite,pune
Infostretch solutions Pvt. Ltd.,pune,postgraduate,"it skills, python, testing, cloud, devops, jenkins, aws, san",contract,1414623.5,5-6,Senior Technical Lead (Data Engineer),5.0,6.0,Senior,8,it skills,14.15,Onsite,pune
Infostretch solutions Pvt. Ltd.,pune,postgraduate,"it skills, software development, testing, ms sql, .net, business process, san, uml",contract,421458.0,6-7,Senior Technical Lead (Data Engineer),6.0,7.0,Senior,8,it skills,4.21,Onsite,pune
Infostretch solutions Pvt. Ltd.,pune,postgraduate,"zeplin, figma, ui, illustrator, photoshop, adobe suite, ux, sketch",full-time,1667594.0,1-3,Senior Technical Lead (Data Engineer),1.0,3.0,Mid,8,zeplin,16.68,Onsite,pune
Infostretch solutions Pvt. Ltd.,pune,undergraduate,"it skills, testing, san, prototype, illustrator, interaction design, agile, agile methodology",contract,1414623.5,3-4,Senior Technical Lead (Data Engineer),3.0,4.0,Mid,8,it skills,14.15,Onsite,pune
Infostretch solutions Pvt. Ltd.,pune,undergraduate,"it skills, python, cloud, devops, jenkins, aws, san, backend",full-time,2006698.0,0-4,Senior Technical Lead (Data Engineer),0.0,4.0,Mid,8,it skills,20.07,Onsite,pune
Infostretch solutions Pvt. Ltd.,ahmedabad,undergraduate,"automation tools, java, software development, design patterns, appium, swift, version control, selenium",full-time,1094040.0,3-7,Senior Technical Lead (Data Engineer),3.0,7.0,Senior,8,automation tools,10.94,Onsite,ahmedabad
Infostretch solutions Pvt. Ltd.,pune,postgraduate,"svn, coredata, xib, swift, sqlite, software development lifecycle, git, object oriented concepts",contract,1362553.0,0-7,Senior Technical Lead (Data Engineer),0.0,7.0,Senior,8,svn,13.63,Onsite,pune
Infostretch solutions Pvt. Ltd.,pune,undergraduate,"micro services architecture, api testing, qa automation, rest assured, java, aws, communication, selenium",full-time,425032.0,5-7,Senior Technical Lead (Data Engineer),5.0,7.0,Senior,8,micro services architecture,4.25,Onsite,pune
Infostretch solutions Pvt. Ltd.,pune,undergraduate,"san, backend, xml, agile, http, json, customer service, information technology",contract,1277921.0,1-6,Senior Technical Lead (Data Engineer),1.0,6.0,Senior,8,san,12.78,Onsite,pune
Infostretch solutions Pvt. Ltd.,ahmedabad,undergraduate,"kotlin, emulator, espresso, junit, bamboo, maven, appium, agile",contract,1399652.0,6-8,Senior Technical Lead (Data Engineer),6.0,8.0,Senior,8,kotlin,14.0,Onsite,ahmedabad
Infostretch solutions Pvt. Ltd.,pune,undergraduate,"solution architecture, san, automation, networking, enterprise applications, agile, troubleshooting, information technology",full-time,1096504.0,2-3,Senior Technical Lead (Data Engineer),2.0,3.0,Mid,8,solution architecture,10.97,Onsite,pune
Infostretch solutions Pvt. Ltd.,pune,undergraduate,"engineering services, analytical, agile, software development life cycle, manager technology, healthcare, technical lead, business modeling",contract,1541549.0,1-4,Senior Technical Lead (Data Engineer),1.0,4.0,Mid,8,engineering services,15.42,Onsite,pune
Infostretch solutions Pvt. Ltd.,pune,undergraduate,"it skills, software development, engineering services, san, microsoft certified professional, service engineering, agile, asp.net",full-time,2156451.0,0-5,Senior Technical Lead (Data Engineer),0.0,5.0,Mid,8,it skills,21.56,Onsite,pune
Infostretch solutions Pvt. Ltd.,pune,undergraduate,"it skills, python, software development, testing, selenium, jenkins, automation framework, san",contract,1470457.0,5-6,Senior Technical Lead (Data Engineer),5.0,6.0,Senior,8,it skills,14.7,Onsite,pune
Infostretch solutions Pvt. Ltd.,pune,postgraduate,"it skills, react.js, html, css, javascript, san, wordpress, cms",full-time,1397747.0,5-7,Senior Technical Lead (Data Engineer),5.0,7.0,Senior,8,it skills,13.98,Onsite,pune
Infostretch solutions Pvt. Ltd.,pune,postgraduate,"it skills, javascript, engineering services, san, agile, customer service, middleware, information technology",full-time,950260.0,0-5,Senior Technical Lead (Data Engineer),0.0,5.0,Mid,8,it skills,9.5,Onsite,pune
Infostretch solutions Pvt. Ltd.,pune,undergraduate,"it skills, java, cloud, project management, aws, bpo, project management, san",full-time,2246909.0,4-7,Senior Technical Lead (Data Engineer),4.0,7.0,Senior,8,it skills,22.47,Onsite,pune
Infostretch solutions Pvt. Ltd.,pune,postgraduate,"it skills, testing, performance testing, san, software design, agile, test cases, customer service",full-time,1414623.5,3-6,Senior Technical Lead (Data Engineer),3.0,6.0,Senior,8,it skills,14.15,Onsite,pune
Infostretch solutions Pvt. Ltd.,pune,undergraduate,"ci cd, jenkins, written, selenium, java, qa automation, aws, git",full-time,385705.0,3-6,Senior Technical Lead (Data Engineer),3.0,6.0,Senior,8,ci cd,3.86,Onsite,pune
Infostretch solutions Pvt. Ltd.,pune,postgraduate,"engineering services, front end, version control, git, analytical, sqlite, agile, healthcare",contract,1902354.0,0-7,Senior Technical Lead (Data Engineer),0.0,7.0,Senior,8,engineering services,19.02,Onsite,pune
Infostretch solutions Pvt. Ltd.,pune,postgraduate,"engineering services, team management, agile, oracle, troubleshooting, open source, jira, monitoring",contract,1727103.0,7-8,Senior Technical Lead (Data Engineer),7.0,8.0,Senior,8,engineering services,17.27,Onsite,pune
Infostretch solutions Pvt. Ltd.,pune,undergraduate,"it skills, big data, engineering services, nosql, mysql, agile, database, business modeling",full-time,2413177.0,6-7,Senior Technical Lead (Data Engineer),6.0,7.0,Senior,8,it skills,24.13,Onsite,pune
Infostretch solutions Pvt. Ltd.,pune,postgraduate,"hibernate, java j2ee developer, mysql, debugging, agile, technical lead, jpa, agile methodology",full-time,892725.0,7-8,Senior Technical Lead (Data Engineer),7.0,8.0,Senior,8,hibernate,8.93,Onsite,pune
Infostretch solutions Pvt. Ltd.,pune,postgraduate,"figma, ui design, communication, sketch design, ux, it skills, software development, engineering services",full-time,1238344.0,3-4,Senior Technical Lead (Data Engineer),3.0,4.0,Mid,8,figma,12.38,Onsite,pune
Infostretch solutions Pvt. Ltd.,pune,postgraduate,"spring boot, microservices, communication, mvc, java, mysql, junit, spring",contract,1414623.5,5-7,Senior Technical Lead (Data Engineer),5.0,7.0,Senior,8,spring boot,14.15,Onsite,pune
Infostretch solutions Pvt. Ltd.,pune,undergraduate,"san, technical writing, web development, javascript, agile, application development, json, windows",contract,1475996.0,2-3,Senior Technical Lead (Data Engineer),2.0,3.0,Mid,8,san,14.76,Onsite,pune
Infostretch solutions Pvt. Ltd.,pune,unknown,"jira, qtest, perfecto, jenkins, swagger, rest api, qaf, microservices",contract,946908.0,7-8,Senior Technical Lead (Data Engineer),7.0,8.0,Senior,8,jira,9.47,Onsite,pune
Infostretch solutions Pvt. Ltd.,"pune, united states ",postgraduate,"it skills, java, cloud, project management, aws, bpo, project management, san",contract,1966196.0,4-5,Senior Technical Lead (Data Engineer),4.0,5.0,Mid,8,it skills,19.66,Onsite,pune
Infostretch solutions Pvt. Ltd.,"pune, united states ",undergraduate,"architect, san, automation, rdbms, testing tools, coding, javascript, agile",full-time,1674836.0,3-5,Senior Technical Lead (Data Engineer),3.0,5.0,Mid,8,architect,16.75,Onsite,pune
Infostretch solutions Pvt. Ltd.,"pune, united states ",undergraduate,"microservices, core java, rest controller, mongodb, troubleshooting, maven, spring, jenkins",contract,2365931.0,6-7,Senior Technical Lead (Data Engineer),6.0,7.0,Senior,8,microservices,23.66,Onsite,pune
Infostretch solutions Pvt. Ltd.,"pune, united states ",undergraduate,"selenium, cypress, rest assured, communication, micro services architecture, aws, api testing, qa automation",contract,2098368.0,4-6,Senior Technical Lead (Data Engineer),4.0,6.0,Senior,8,selenium,20.98,Onsite,pune
Infostretch solutions Pvt. Ltd.,"pune, united states ",postgraduate,"rdbms, soap services, c#, selenium web driver, appium, test automation, java, nodejs",contract,1182762.0,6-8,Senior Technical Lead (Data Engineer),6.0,8.0,Senior,8,rdbms,11.83,Onsite,pune
Infostretch solutions Pvt. Ltd.,"pune, united states ",postgraduate,"it skills, testing, javascript, engineering services, san, dom, git, social media",full-time,2289545.0,7-8,Senior Technical Lead (Data Engineer),7.0,8.0,Senior,8,it skills,22.9,Onsite,pune
Infostretch solutions Pvt. Ltd.,"pune, united states ",unknown,"illustrator, ux, adobe suite, sketch, invision app, photoshop, zeplin, ui",full-time,2387493.0,3-7,Senior Technical Lead (Data Engineer),3.0,7.0,Senior,8,illustrator,23.87,Onsite,pune
Infostretch solutions Pvt. Ltd.,"pune, united states ",unknown,"corelocation, singleton, memory management, cocoapods, object oriented, git, communication, analytical",contract,576066.0,0-1,Senior Technical Lead (Data Engineer),0.0,1.0,Entry,8,corelocation,5.76,Onsite,pune
Infostretch solutions Pvt. Ltd.,"pune, united states ",undergraduate,"it skills, cloud, aws, engineering services, san, nosql, technical writing, agile",contract,2425051.0,5-7,Senior Technical Lead (Data Engineer),5.0,7.0,Senior,8,it skills,24.25,Onsite,pune
Infostretch solutions Pvt. Ltd.,"pune, united states ",postgraduate,"communication, android design, java, android coding, json, espresso, hudson, sqlite",contract,723168.0,2-4,Senior Technical Lead (Data Engineer),2.0,4.0,Mid,8,communication,7.23,Onsite,pune
Infostretch solutions Pvt. Ltd.,"pune, united states ",postgraduate,"mobx, json, mysql, npm, mercurial, flux, aws, mocha",contract,1579235.0,2-3,Senior Technical Lead (Data Engineer),2.0,3.0,Mid,8,mobx,15.79,Onsite,pune
Infostretch solutions Pvt. Ltd.,pune,postgraduate,"oral, web service, sdlc, agile, test case, api testing, se, jira",contract,1609449.0,4-6,Senior Technical Lead (Data Engineer),4.0,6.0,Senior,8,oral,16.09,Onsite,pune
Infostretch solutions Pvt. Ltd.,pune,undergraduate,"amazon web services, java, api automation, git, selenium, testng, python, continuous testing",contract,1077816.0,3-4,Senior Technical Lead (Data Engineer),3.0,4.0,Mid,8,amazon web services,10.78,Onsite,pune
Infostretch solutions Pvt. Ltd.,ahmedabad,postgraduate,"it skills, java, software development, testing, selenium, performance testing, automation, rdbms",full-time,1414623.5,1-3,Senior Technical Lead (Data Engineer),1.0,3.0,Mid,8,it skills,14.15,Onsite,ahmedabad
Infostretch solutions Pvt. Ltd.,pune,postgraduate,"printing, engineering services, analytical skills, business analysis, analytical, agile, market research, product design",contract,1860928.0,0-2,Senior Technical Lead (Data Engineer),0.0,2.0,Entry,8,printing,18.61,Onsite,pune
Infostretch solutions Pvt. Ltd.,pune,undergraduate,"it skills, testing, cloud, react.js, html, css, javascript, san",full-time,1919847.0,3-4,Senior Technical Lead (Data Engineer),3.0,4.0,Mid,8,it skills,19.2,Onsite,pune
Infostretch solutions Pvt. Ltd.,pune,postgraduate,"jira, sns, jenkins, ec2, ci cd, aws, microservices, communication",full-time,1604763.0,4-5,Senior Technical Lead (Data Engineer),4.0,5.0,Mid,8,jira,16.05,Onsite,pune
Infostretch solutions Pvt. Ltd.,pune,postgraduate,"tcp, san, automation, linux, networking, configuration management, agile, dns",contract,1200456.0,3-4,Senior Technical Lead (Data Engineer),3.0,4.0,Mid,8,tcp,12.0,Onsite,pune
Infostretch solutions Pvt. Ltd.,pune,postgraduate,"mysql, object oriented, nosql, html, angular js, java, j2ee, react js",full-time,1020325.0,0-1,Senior Technical Lead (Data Engineer),0.0,1.0,Entry,8,mysql,10.2,Onsite,pune
Infostretch solutions Pvt. Ltd.,pune,undergraduate,"jira, se, sdlc, mysql, java, selenium, stlc, agile",contract,2409787.0,2-4,Senior Technical Lead (Data Engineer),2.0,4.0,Mid,8,jira,24.1,Onsite,pune
Infostretch solutions Pvt. Ltd.,pune,postgraduate,"s3, circleci, nlb, elasticache, rake, written, sdlc, alb",contract,480294.0,3-4,Senior Technical Lead (Data Engineer),3.0,4.0,Mid,8,s3,4.8,Onsite,pune
Infostretch solutions Pvt. Ltd.,pune,undergraduate,"it skills, java, software development, san, maven, core java, rdbms, coding",full-time,1154262.0,5-7,Senior Technical Lead (Data Engineer),5.0,7.0,Senior,8,it skills,11.54,Onsite,pune
Infostretch solutions Pvt. Ltd.,pune,unknown,"it skills, python, software development, testing, cloud, devops, jenkins, tcp",full-time,1151151.0,1-2,Senior Technical Lead (Data Engineer),1.0,2.0,Entry,8,it skills,11.51,Onsite,pune
Infostretch solutions Pvt. Ltd.,pune,postgraduate,"aws sam, microservices, verbal communication, java, sso, cdn, devops, sql",contract,1414623.5,7-8,Senior Technical Lead (Data Engineer),7.0,8.0,Senior,8,aws sam,14.15,Onsite,pune
Infostretch solutions Pvt. Ltd.,pune,undergraduate,"printing, engineering services, san, business analysis, analytical, market research, product design, customer service",contract,1333923.0,6-8,Senior Technical Lead (Data Engineer),6.0,8.0,Senior,8,printing,13.34,Onsite,pune
Infostretch solutions Pvt. Ltd.,pune,postgraduate,"presentation, analytical, communication, agile methodologies, it skills, product management, engineering services, san",contract,1591668.0,7-8,Senior Technical Lead (Data Engineer),7.0,8.0,Senior,8,presentation,15.92,Onsite,pune
Infostretch solutions Pvt. Ltd.,pune,undergraduate,"san, dom, tdd, debugging, javascript, agile, application security, customer service",contract,2084235.0,2-5,Senior Technical Lead (Data Engineer),2.0,5.0,Mid,8,san,20.84,Onsite,pune
Infostretch solutions Pvt. Ltd.,pune,postgraduate,"engineering services, san, ms sql, git, agile, business modeling, customer service, troubleshooting",full-time,2135655.0,2-7,Senior Technical Lead (Data Engineer),2.0,7.0,Senior,8,engineering services,21.36,Onsite,pune
Infostretch solutions Pvt. Ltd.,pune,unknown,"apache solr, emr, jenkins, kubernetes, aws glue, flask, cloudformation, athena",contract,339062.0,0-1,Senior Technical Lead (Data Engineer),0.0,1.0,Entry,8,apache solr,3.39,Onsite,pune
Infostretch solutions Pvt. Ltd.,ahmedabad,postgraduate,"maven, selenium, xcuitest, kotlin, testng, agile, espresso, cucumber",contract,386586.0,0-5,Senior Technical Lead (Data Engineer),0.0,5.0,Mid,8,maven,3.87,Onsite,ahmedabad
Infostretch solutions Pvt. Ltd.,pune,undergraduate,"communication, continuous delivery, agile, written, drupal, aws, node, verbal communication",contract,1414623.5,6-7,Senior Technical Lead (Data Engineer),6.0,7.0,Senior,8,communication,14.15,Onsite,pune
Infostretch solutions Pvt. Ltd.,pune,postgraduate,"it skills, product management, engineering services, bfsi, analytical, agile, healthcare, market research",full-time,1021897.0,5-7,Senior Technical Lead (Data Engineer),5.0,7.0,Senior,8,it skills,10.22,Onsite,pune
Infostretch solutions Pvt. Ltd.,pune,postgraduate,"communication, functional testing, selenium, testing, analytical, sql, it skills, automation testing",full-time,532090.0,2-4,Senior Technical Lead (Data Engineer),2.0,4.0,Mid,8,communication,5.32,Onsite,pune
Infostretch solutions Pvt. Ltd.,pune,undergraduate,"qa, engineering services, business process, san, implementation analyst, agile, html, customer service",contract,1917540.0,3-5,Senior Technical Lead (Data Engineer),3.0,5.0,Mid,8,qa,19.18,Onsite,pune
Infostretch solutions Pvt. Ltd.,pune,undergraduate,"t sql, ssrs, microsoft sql server, microsoft sql server reporting services, sql server reporting services, power bi, sql queries, it skills",contract,2367884.0,2-7,Senior Technical Lead (Data Engineer),2.0,7.0,Senior,8,t sql,23.68,Onsite,pune
Infostretch solutions Pvt. Ltd.,pune,postgraduate,"restful, rdbms, soap services, oops, java, python, gherkin, junit",full-time,2096694.0,6-7,Senior Technical Lead (Data Engineer),6.0,7.0,Senior,8,restful,20.97,Onsite,pune
Infostretch solutions Pvt. Ltd.,pune,undergraduate,"it skills, software development, engineering services, san, prototype, agile, software development life cycle, manager technology",contract,1524579.0,4-5,Senior Technical Lead (Data Engineer),4.0,5.0,Mid,8,it skills,15.25,Onsite,pune
Infostretch solutions Pvt. Ltd.,pune,unknown,"engineering services, san, customer satisfaction, agile, manager technology, scrum, agile methodology, business modeling",full-time,741447.0,5-7,Senior Technical Lead (Data Engineer),5.0,7.0,Senior,8,engineering services,7.41,Onsite,pune
Infostretch solutions Pvt. Ltd.,pune,undergraduate,"it skills, cloud, aws, engineering services, san, nosql, orchestration, technical writing",contract,2087631.0,5-7,Senior Technical Lead (Data Engineer),5.0,7.0,Senior,8,it skills,20.88,Onsite,pune
Infostretch solutions Pvt. Ltd.,ahmedabad,postgraduate,"it skills, python, software development, testing, cloud, rpa, san, agile",full-time,982178.0,2-3,Senior Technical Lead (Data Engineer),2.0,3.0,Mid,8,it skills,9.82,Onsite,ahmedabad
Infostretch solutions Pvt. Ltd.,pune,undergraduate,"it skills, java, python, testing, cloud, devops, performance testing, san",contract,621811.0,4-6,Senior Technical Lead (Data Engineer),4.0,6.0,Senior,8,it skills,6.22,Onsite,pune
Infostretch solutions Pvt. Ltd.,pune,undergraduate,"jest, react js, ux, mobx, structure, mysql, webpack, npm",contract,806135.0,0-1,Senior Technical Lead (Data Engineer),0.0,1.0,Entry,8,jest,8.06,Onsite,pune
Infostretch solutions Pvt. Ltd.,pune,unknown,"javascript, json, mobx, angular js, webpack, mercurial, graphql, babel",full-time,2490216.0,0-2,Senior Technical Lead (Data Engineer),0.0,2.0,Entry,8,javascript,24.9,Onsite,pune
Infostretch solutions Pvt. Ltd.,pune,undergraduate,"saucelabs, javascript, software testing, jenkins, hockeyapp, appium, perfecto, communication",full-time,1164745.0,3-5,Senior Technical Lead (Data Engineer),3.0,5.0,Mid,8,saucelabs,11.65,Onsite,pune
Infostretch solutions Pvt. Ltd.,pune,postgraduate,"computer science, engineering services, iis, linux, networking, powershell, mis, devops",full-time,2332750.0,6-7,Senior Technical Lead (Data Engineer),6.0,7.0,Senior,8,computer science,23.33,Onsite,pune
Infostretch solutions Pvt. Ltd.,pune,undergraduate,"engineering services, front end, dom, git, javascript, agile, software development life cycle, technical lead",contract,2070379.0,4-6,Senior Technical Lead (Data Engineer),4.0,6.0,Senior,8,engineering services,20.7,Onsite,pune
Infostretch solutions Pvt. Ltd.,"pune, united states ",undergraduate,"it skills, testing, react.js, javascript, aws, san, front end, mysql",contract,646512.0,4-7,Senior Technical Lead (Data Engineer),4.0,7.0,Senior,8,it skills,6.47,Onsite,pune
Infostretch solutions Pvt. Ltd.,"pune, united states ",unknown,"it skills, testing, performance testing, html, css, javascript, san, debugging",full-time,1414623.5,3-5,Senior Technical Lead (Data Engineer),3.0,5.0,Mid,8,it skills,14.15,Onsite,pune
Infostretch solutions Pvt. Ltd.,"pune, united states ",undergraduate,"mobile testing, application testing, api testing, it skills, testing, selenium, cloud, engineering services",full-time,2459507.0,4-6,Senior Technical Lead (Data Engineer),4.0,6.0,Senior,8,mobile testing,24.6,Onsite,pune
Infostretch solutions Pvt. Ltd.,pune,unknown,"git, oops, wcf, sql, jira, verbal, microservices, entity framework",contract,2243717.0,1-4,Senior Technical Lead (Data Engineer),1.0,4.0,Mid,8,git,22.44,Onsite,pune
CHANGE LEADERS CONSULTING,"mumbai, pune, bengaluru,bengaluru",undergraduate,"python, azure data factory, azure synapse, azure, data analysis, analytical, modelling, data lake gen",contract,489667.0,4-5,Azure Data Engineer/ Lead Data Engineer- ADF+ADB+Python(Brillio),4.0,5.0,Mid,8,python,4.9,Onsite,mumbai
Enrich and Enlight,"hyderabad,hyderabad, pune, chennai, bengaluru,bengaluru",undergraduate,"azure data factory, pyspark, python, azure data engineer, azure databricks, cosmo db, azure, databricks azure data catalog",full-time,418575.0,1-4,Job Opportunity with Leading MNC - Azure Data Engineer,1.0,4.0,Mid,8,azure data factory,4.19,Onsite,hyderabad
Decision Point Analytics,"gurugram,gurugram",undergraduate,"it skills, python, machine learning, big data, aws, azure, relational sql, software engineering",contract,1250251.0,5-6,Lead Data Engineer,5.0,6.0,Senior,8,it skills,12.5,Onsite,gurugram
Jubilant Foodworks,noida,postgraduate,data engineering,contract,2315687.0,6-7,Data Engineering Leader - A&I,6.0,7.0,Senior,1,data engineering,23.16,Onsite,noida
VRIZE,"bengaluru,bengaluru",postgraduate,"data engineering, amazon redshift, aws, it skills, java, python, data science, ms sql",contract,2416066.0,5-7,Data Engineer Lead - Immediate Joiner,5.0,7.0,Senior,8,data engineering,24.16,Onsite,bengaluru
Allegis Services India Pvt. Ltd.,"hyderabad,hyderabad",undergraduate,"datastage, stored procedures, troubleshooting, sql, python, administration, architecture, devops",full-time,1441649.0,5-6,Data Engineer( Datasatge/ Snowflake),5.0,6.0,Senior,8,datastage,14.42,Onsite,hyderabad
C42 Engineering India Pvt. Ltd.,"bengaluru,bengaluru",postgraduate,"product management, backend, machine learning, html, business intelligence, open source, ruby, analytics",contract,1066598.0,4-6,Data Engineer - Tech lead,4.0,6.0,Senior,8,product management,10.67,Onsite,bengaluru
Snaphunt,"bengaluru,bengaluru",postgraduate,"data engineering, bi, apis, mongodb, mysql, kafka, front end, .net",contract,2379170.0,3-4,Data Engineering Lead,3.0,4.0,Mid,8,data engineering,23.79,Onsite,bengaluru
Onward Technologies Limited,"bengaluru,bengaluru",postgraduate,"python nodejs java, scala, spark, aws, emr, debugging, apache spark, nodejs",full-time,624528.0,7-8,Data Engineer-Scala-Lead,7.0,8.0,Senior,8,python nodejs java,6.25,Onsite,bengaluru
CBA Services Private Limited,"bengaluru,bengaluru",undergraduate,"it skills, project management, bpo, customer service, project management, product management, change management, software design",full-time,859955.0,3-5,Chapter Area Lead- Data engineering,3.0,5.0,Mid,8,it skills,8.6,Onsite,bengaluru
Huquo Consulting Pvt. Ltd,"gurugram,gurugram",postgraduate,"data science, machine learning, deep learning, tensorflow, spark, machine learning algorithm, pytorch, verbal",full-time,2257097.0,2-6,Lead Data Science Engineer - Deep Learning,2.0,6.0,Senior,8,data science,22.57,Onsite,gurugram
NTT Data,pune,unknown,"computer science, linux, coding, xml, machine learning, json, scheduling, open source",contract,2441086.0,7-8,Data Engineer Lead,7.0,8.0,Senior,8,computer science,24.41,Onsite,pune
AgreeYa,noida,postgraduate,"it skills, tableau, business process, data management, analytical, ssrs, schema, healthcare",full-time,992242.0,3-7,Lead Data Engineer - Architect,3.0,7.0,Senior,8,it skills,9.92,Onsite,noida
MetrixLab,"hyderabad,hyderabad",undergraduate,"associate analyst, excel, packaging, market research, e commerce, data visualization, manager quality control, marketing communication",full-time,2071596.0,4-6,"Associate/Analyst, Data Visualization",4.0,6.0,Senior,8,associate analyst,20.72,Onsite,hyderabad
T & A Solutions,chandigarh,postgraduate,"excel, vlookup, analytical, finance, commerce, associate quality analyst, data entry",contract,1227209.0,0-2,Data Entry Associate/Quality Analyst,0.0,2.0,Entry,7,excel,12.27,Onsite,chandigarh
Protiviti Consulting,"gurugram,gurugram",undergraduate,"data analysis, data analytics, ats, charts, data visualization, dashboards",full-time,2049529.0,0-5,Associate/ Analyst- Data / MIS - TA Data Analyst,0.0,5.0,Mid,6,data analysis,20.5,Onsite,gurugram
enVista,hyderabad,undergraduate,"qa, pdf, associate analyst, data processing, qa associate, management, freight, data entry",full-time,1272293.0,4-5,"Associate Analyst, Data Processing",4.0,5.0,Mid,8,qa,12.72,Onsite,hyderabad
Basware India Pvt Ltd,chandigarh,undergraduate,"it skills, project management, digital marketing, power bi, bpo, project management, automation, business objects",full-time,941441.0,5-7,"Associate, Campaign Marketing (Data Analyst)",5.0,7.0,Senior,8,it skills,9.41,Onsite,chandigarh
Chargeback Gurus Fintech Private Limited,chennai,postgraduate,"ms office, record keeping, dtp, excel, word, written communication, problem solving, data entry",contract,854823.0,1-5,Associate-Data Entry Analyst,1.0,5.0,Mid,8,ms office,8.55,Onsite,chennai
enVista,"hyderabad,hyderabad",postgraduate,"relationship management, training, management associate, usage, compliance, relationship, data processing, data quality",contract,332180.0,3-5,"Associate Analyst, Data Processing",3.0,5.0,Mid,8,relationship management,3.32,Onsite,hyderabad
GD Research Center Pvt Ltd,hyderabad,undergraduate,"analytical skills, associate analyst, data research, market data, information research, research, ms office, research associate",full-time,1945580.0,5-6,Associate Analyst - Consumer Data Projects,5.0,6.0,Senior,8,analytical skills,19.46,Onsite,hyderabad
CeX WeBuy Entertainment Pvt.Ltd,mumbai,postgraduate,"sql queries, associate data analyst, database, programming, plsql, data quality, data privacy, data analyst",contract,2469579.0,6-8,Associate Data Analyst,6.0,8.0,Senior,8,sql queries,24.7,Onsite,mumbai
HUSYS CONSULTING LIMITED,hyderabad,undergraduate,"help desk, customer service, data analysis, customer relationship, access controls, telephony support, asset management, vendor management",contract,2270782.0,0-1,Associate Data Analyst,0.0,1.0,Entry,8,help desk,22.71,Onsite,hyderabad
WebMD,navi mumbai,postgraduate,"google analytics, excel, ms access, web analytics, analytical, web development, healthcare, omniture",contract,2286725.0,5-6,Associate Data Analyst,5.0,6.0,Senior,8,google analytics,22.87,Onsite,navi mumbai
STAFFICE GLOBAL PRIVATE LIMITED,"kolkata, hyderabad,hyderabad, pune, ahmedabad, chennai, bengaluru,bengaluru, delhi , ncr, mumbai ",postgraduate,"architecture shell, scala, hive, azure data engineering, spark, agile, it skills, python",full-time,1414623.5,7-8,Senior Azure Data Engineer,7.0,8.0,Senior,8,architecture shell,14.15,Onsite,kolkata
Hewlett Packard (HP),"bengaluru,bengaluru",undergraduate,"data science, cloud, algorithms, python, r, machine learning, statistics",contract,1191700.0,2-4,Lead Machine Learning Scientist,2.0,4.0,Mid,7,data science,11.92,Onsite,bengaluru
Apisero,"kolkata, hyderabad,hyderabad, pune, chennai, bengaluru,bengaluru, delhi , ncr, mumbai ",postgraduate,"sql, pl sql, cdc, sftp protocols, data data modeling, governance, database, csv",full-time,908022.0,1-3,Sr Data Integration Engineer,1.0,3.0,Mid,8,sql,9.08,Onsite,kolkata
