Company,Location,education,Skills/Description,job_type,salary,Job Experience,Job_Role
Infostretch solutions Pvt. Ltd.,Pune,UG,"JMeter, Linux, Cloudwatch, communication, java, beanshell scripting, Blazemeter, AWS",,,6-10,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Ahmedabad,Under-graduate,"Bitbucket, Data Science, communication, Git, Machine Learning, analytical, IT Skills, Cloud",full-time,1792753.0,4-9,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,pg,"SAN, Automation, Core Java, RDBMS, Coding, Agile, Technical Lead, Selenium",,1700539.0,6-11,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,,"SAN, Maven, Coding, Enterprise applications, Java J2Ee Developer, Javascript, Agile, Technical Lead",contract,982780.0,12-17,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,PG,"IT Skills, Testing, Cloud, HTML, CSS, Javascript, Engineering services, SAN",contract,2392665.0,4-9,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,PG,"Computer science, Engineering services, SAN, Software design, GIT, MVVM, Agile, Customer service",full-time,2221167.0,5-10,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,Post-graduate,"RDBMS, Selenium, Java, SOAP services, Core Java, ANT, OOPs, Maven",full-time,,2-3,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,UG,"S3, RDS, VPC, Aurora, Redis, IAM, written, verbal communication",full-time,2293741.0,5-10,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,Post-graduate,"Stash, Continuous Integration, UML, verbal, TDD, Agile, Linux, AWS",contract,781542.0,4-9,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,ug,"IT Skills, Java, J2EE, Testing, Selenium, Cloud, Jenkins, SAN",contract,1686999.0,4-9,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,ug,"IT Skills, Java, J2EE, Testing, Selenium, Cloud, Jenkins, SAN",contract,1131347.0,2-7,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,Post-graduate,"AWS SAM, microservices, CDN, written, cloud portal, Agile, SQL, DevOps",full-time,,4-9,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,,"Jenkins, Angular, verbal, Stash, TDD, Data Modelling, NodeJs, Python",full-time,931550.0,2-7,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,,"IT Skills, Python, Testing, Cloud, DevOps, Jenkins, AWS, Intrusion Detection",full-time,1984482.0,3-8,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,Under-graduate,"IT Skills, Software Development, Project Management, Javascript, BPO, project management, Application Development, Redux",full-time,1239319.0,5-10,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,Under-graduate,"IT Skills, Testing, React.js, Javascript, SAN, Front end, Coding, Debugging",contract,2425935.0,6-10,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,,"IT Skills, Java, Testing, Selenium, DevOps, Jenkins, AWS, SAN",,849598.0,6-10,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,pg,"Typescript, SDLC, CSS3, HTML5, Karma, SaSS, Angular 12, Jasmine",full-time,,6-10,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,ug,"Software testing, troubleshooting, agile, Appium, BDD, APIs, Selenium, mobile application testing",contract,1406914.0,3-5,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Ahmedabad,Post-graduate,"Web Service, analytical, Mobile testing, SE, Security testing, Bugzilla, SDLC, QC",full-time,2161179.0,2-3,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Ahmedabad,Post-graduate,"Engineering services, User research, jQuery, Front end, Agile, Manager Technology, Technical Lead, Agile methodology",,1203193.0,4-5,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Ahmedabad,Under-graduate,"Engineering services, Networking, Javascript, Agile, Manager Technology, Technical Lead, Business modeling, Network management",full-time,599800.0,4-9,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,PG,"Printing, Engineering services, Analytical skills, Business analysis, Analytical, Agile, Market research, Product design",contract,1433870.0,4-9,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,PG,"Engineering services, Analytical, Agile, Manager Technology, Healthcare, Technical Lead, Scrum, Business modeling",,1649625.0,6-10,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,ug,"SAN, Backend, Information security, Debugging, Network security, Customer service, Troubleshooting, Information technology",contract,1622402.0,5-10,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,,"IT Skills, Testing, Selenium, Performance Testing, SAN, Test scripts, Agile, Scrum",full-time,2473484.0,4-7,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,PG,"SAN, Maven, Eclipse, Postgresql, Java Software Engineer, Agile, JSON, Customer service",contract,,6-10,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,pg,"Engineering services, SAN, Agile, Manager Technology, Technical Lead, Customer service, Research, Information technology",contract,2360721.0,10-15,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,UG,"Computer science, SAN, Software design, GIT, MVVM, Agile, Technical Lead, Customer service",,517940.0,6-11,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,ug,"IT Skills, Java, Testing, Selenium, Jenkins, AWS, Computer science, SAN",,1888770.0,4-9,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,Under-graduate,"IT Skills, Javascript, SAN, Coding, Debugging, Agile, Application development, SDK",contract,1735379.0,2-4,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,ug,"SAN, Front end, MySQL, Javascript, Agile, JSON, Test cases, Customer service",full-time,1067108.0,4-6,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,pg,"IT Skills, Testing, Performance Testing, SAN, Software design, Agile, Test cases, Customer service",full-time,2005796.0,2-4,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,ug,"IT Skills, React.js, Javascript, AWS, Engineering services, Front end, Agile, JSON",contract,2453773.0,3-5,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,UG,"IT Skills, Testing, Performance Testing, SAN, Software design, Agile, Test cases, Customer service",contract,915573.0,3-5,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,ug,"Tableau, performance tuning, Microsoft SQL Server 2008, Transact SQL, SSIS, ETL, T - SQL, Stored Procedures",contract,2103526.0,9-14,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,PG,"Redux Saga, Javascript, communication, iOS, debugging, Flexbox, React Native development, Redux",full-time,1835302.0,3-5,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,UG,"Analytical, JavaScript, HTML, CSS, AJAX, Communication, AngularJS, MVC frameworks",full-time,401299.0,6-10,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,UG,"Scrum, RDBMS, JUnit, Selenium Web driver, Appium, Maven, Core Java, automation",contract,2216209.0,5-7,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,ug,"Engineering services, SAN, Coding, Software Development Manager, Javascript, Agile, Customer service, IOS",,1215970.0,4-9,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,,"IT Skills, React.js, HTML, Javascript, Engineering services, SAN, GIT, Agile",full-time,847322.0,5-7,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,pg,"Gradle, Android SDK, JSON, XCode, UI Development, BitBucket, GitHub, HTML",full-time,349422.0,6-10,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,,"Automation, Networking, Configuration management, Javascript, Agile, Perl, Customer service, Apache",contract,721755.0,8-13,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,PG,"SAN, Backend, GIT, MySQL, Javascript, Agile, Project planning, MVC",contract,708424.0,6-11,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,UG,"IT Skills, HTML, CSS, Javascript, UI development, SAN, Coding, Agile",full-time,2148357.0,6-10,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,Under-graduate,"Engineering services, SAN, Front end, MySQL, Javascript, Agile, Customer service, Test cases",,1021211.0,4-5,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,UG,"Engineering services, Maven, Automation, Coding, Business analysis, Configuration management, Agile, Issue resolution",full-time,1169590.0,6-11,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,pg,"Engineering services, Backend, RDBMS, Shell scripting, Javascript, Agile, Technical Lead, Business modeling",contract,921941.0,8-13,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,,"Engineering services, Analytical skills, Technical analysis, Business analysis, Coding, Agile, Issue resolution, Project planning",full-time,,3-5,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,Under-graduate,"Maven, Automation, Core Java, RDBMS, Coding, Agile, Technical Lead, Selenium",contract,411397.0,6-8,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,Under-graduate,"Engineering services, Analytical skills, Automation, Coding, Business analysis, Agile, Issue resolution, Project planning",full-time,485844.0,5-10,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,PG,"Python, ANT, OOPs, SOAP services, RDBMS, Java, written, verbal communication",contract,706544.0,2-3,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,pg,"Engineering services, Product management, Analytical, Agile, Market research, Healthcare, Product design, Customer service",full-time,1506891.0,6-11,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,PG,"Node js, Mocha, Jest, Lambda, EC2, HTML5, CSS3, microservices",contract,766177.0,6-10,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Ahmedabad,ug,"jQuery, Front end, Coding, Javascript, Agile, HTML, Risk management, ExtJS",contract,2396617.0,10-15,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,ug,"Adobe Suite, Sketch, communication, PPT, Engineering services, Prototype, Web technologies, Networking",full-time,2315496.0,3-4,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,ug,"IT Skills, Software Development, React.js, Angularjs, Engineering services, Front end, Analytical, Javascript",full-time,1536231.0,4-5,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,ug,"Maven, Core Java, project support, Postgresql, MySQL, Agile, Apache, Troubleshooting",contract,1248089.0,5-8,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,,"Engineering services, security compliance, Front end, GIT, Web services, Agile, MongoDB, Business modeling",contract,2405259.0,3-6,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,UG,"Engineering services, SAN, Front end, GIT, DOM, Javascript, Agile, Business modeling",full-time,373411.0,6-10,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,PG,"SAN, metadata, Functional testing, Risk assessment, Agile, Regression testing, Scrum, Customer service",contract,1041425.0,3-8,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,UG,"Business process, Engineering services, SAN, Implementation Analyst, Agile, HTML, Business modeling, Customer service",full-time,948104.0,6-10,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,ug,"SAN, Automation, Manual testing, Functional testing, Agile, Test planning, Test cases, JIRA",full-time,1050863.0,8-9,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,Post-graduate,"API, Jenkins, Java, Web testing, selenium, Agile, Appium, Cypress",full-time,,4-9,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,Under-graduate,"SAN, Automation, Networking, Configuration management, Agile, Customer service, Open source, Information technology",full-time,2106547.0,5-10,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,,"SQL Stored Procedures, databases, MSSQL, GIT, AWS RDS, SQL, communication, IT Skills",contract,1657633.0,5-7,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,UG,"communication, microservices, Spring Boot, API, Java, AWS, Anypoint, Engineering services",full-time,836493.0,4-9,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,Post-graduate,"IT Skills, Testing, React.js, Javascript, AWS, SAN, Front end, DOM",,2316372.0,3-5,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,Post-graduate,"IT Skills, Python, Testing, Cloud, DevOps, Jenkins, AWS, SAN",,,7-12,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,PG,"IT Skills, Software Development, Testing, MS SQL, .Net, Business process, SAN, UML",contract,421458.0,6-10,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,pg,"Zeplin, Figma, UI, Illustrator, Photoshop, Adobe Suite, UX, Sketch",full-time,1667594.0,4-6,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,Under-graduate,"IT Skills, Testing, SAN, Prototype, Illustrator, Interaction design, Agile, Agile methodology",,,5-7,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,ug,"IT Skills, Python, Cloud, DevOps, Jenkins, AWS, SAN, Backend",full-time,2006698.0,8-13,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Ahmedabad,ug,"Automation Tools, Java, Software Development, Design Patterns, Appium, Swift, Version Control, Selenium",full-time,1094040.0,5-10,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,Post-graduate,"SVN, Coredata, Xib, Swift, Sqlite, software development lifecycle, GIT, object - oriented concepts",contract,1362553.0,6-10,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,UG,"Micro services architecture, API Testing, QA automation, Rest Assured, Java, AWS, Communication, Selenium",full-time,425032.0,3-5,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,ug,"SAN, Backend, XML, Agile, HTTP, JSON, Customer service, Information technology",contract,1277921.0,4-9,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Ahmedabad,ug,"Kotlin, Emulator, Espresso, JUnit, Bamboo, Maven, Appium, Agile",contract,1399652.0,5-10,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,UG,"Solution architecture, SAN, Automation, Networking, Enterprise applications, Agile, Troubleshooting, Information technology",full-time,1096504.0,10-20,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,ug,"Engineering services, Analytical, Agile, Software development life cycle, Manager Technology, Healthcare, Technical Lead, Business modeling",,1541549.0,4-6,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,UG,"IT Skills, Software Development, Engineering services, SAN, Microsoft Certified Professional, Service engineering, Agile, ASP.Net",full-time,2156451.0,2-3,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,Under-graduate,"IT Skills, Python, Software Development, Testing, Selenium, Jenkins, automation framework, SAN",,1470457.0,4-9,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,pg,"IT Skills, React.js, HTML, CSS, Javascript, SAN, Wordpress, CMS",full-time,1397747.0,5-10,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,Post-graduate,"IT Skills, Javascript, Engineering services, SAN, Agile, Customer service, Middleware, Information technology",full-time,950260.0,5-10,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,UG,"IT Skills, Java, Cloud, Project Management, AWS, BPO, project management, SAN",full-time,2246909.0,8-13,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,pg,"IT Skills, Testing, Performance Testing, SAN, Software design, Agile, Test cases, Customer service",full-time,,5-7,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,Under-graduate,"CI / CD, Jenkins, written, Selenium, Java, QA automation, AWS, Git",full-time,385705.0,5-10,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,Post-graduate,"Engineering services, Front end, Version control, GIT, Analytical, SQLite, Agile, Healthcare",contract,1902354.0,4-6,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,PG,"Engineering services, Team management, Agile, Oracle, Troubleshooting, Open source, JIRA, Monitoring",contract,1727103.0,10-15,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,UG,"IT Skills, Big Data, Engineering services, NoSQL, MySQL, Agile, Database, Business modeling",full-time,2413177.0,6-10,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,Post-graduate,"Hibernate, Java J2Ee Developer, MySQL, Debugging, Agile, Technical Lead, JPA, Agile methodology",full-time,892725.0,6-11,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,pg,"Figma, UI design, communication, Sketch design, UX, IT Skills, Software Development, Engineering services",full-time,1238344.0,5-10,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,pg,"Spring boot, Microservices, communication, MVC, Java, MySQL, Junit, Spring",,,4-9,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,ug,"SAN, Technical writing, Web development, Javascript, Agile, Application development, JSON, Windows",contract,1475996.0,2-3,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,,"JIRA, qTest, Perfecto, Jenkins, swagger, REST API, QAF, microservices",,946908.0,2-3,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,"Pune, United States (USA)",PG,"IT Skills, Java, Cloud, Project Management, AWS, BPO, project management, SAN",contract,1966196.0,15-25,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,"Pune, United States (USA)",UG,"Architect, SAN, Automation, RDBMS, Testing tools, Coding, Javascript, Agile",full-time,1674836.0,9-14,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,"Pune, United States (USA)",Under-graduate,"microservices, Core Java, rest controller, MongoDB, troubleshooting, Maven, Spring, Jenkins",contract,2365931.0,6-10,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,"Pune, United States (USA)",Under-graduate,"Selenium, Cypress, Rest Assured, Communication, Micro services architecture, AWS, API Testing, QA automation",contract,2098368.0,6-11,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,"Pune, United States (USA)",Post-graduate,"RDBMS, SOAP services, C#, Selenium Web driver, Appium, Test Automation, Java, NodeJS",,1182762.0,3-4,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,"Pune, United States (USA)",Post-graduate,"IT Skills, Testing, Javascript, Engineering services, SAN, DOM, GIT, Social media",full-time,2289545.0,6-10,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,"Pune, United States (USA)",,"Illustrator, UX, Adobe Suite, Sketch, Invision App, Photoshop, Zeplin, UI",full-time,2387493.0,4-6,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,"Pune, United States (USA)",,"CoreLocation, Singleton, memory management, Cocoapods, object - oriented, GIT, communication, analytical",,576066.0,6-10,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,"Pune, United States (USA)",UG,"IT Skills, Cloud, AWS, Engineering services, SAN, NoSQL, Technical writing, Agile",contract,2425051.0,6-8,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,"Pune, United States (USA)",pg,"communication, Android design, Java, Android coding, JSON, Espresso, Hudson, SQLite",contract,723168.0,2-7,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,"Pune, United States (USA)",pg,"MobX, JSON, MySQL, NPM, Mercurial, Flux, AWS, Mocha",,1579235.0,2-3,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,PG,"oral, Web Service, SDLC, Agile, test case, API testing, SE, Jira",contract,1609449.0,2-4,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,UG,"Amazon Web services, Java, API Automation, GIT, selenium, TestNG, python, Continuous testing",,1077816.0,5-10,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Ahmedabad,pg,"IT Skills, Java, Software Development, Testing, Selenium, Performance Testing, Automation, RDBMS",full-time,,6-9,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,Post-graduate,"Printing, Engineering services, Analytical skills, Business analysis, Analytical, Agile, Market research, Product design",contract,1860928.0,3-8,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,ug,"IT Skills, Testing, Cloud, React.js, HTML, CSS, Javascript, SAN",full-time,1919847.0,6-7,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,PG,"Jira, SNS, Jenkins, EC2, CI / CD, AWS, microservices, communication",full-time,1604763.0,7-12,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,pg,"TCP, SAN, Automation, Linux, Networking, Configuration management, Agile, DNS",contract,1200456.0,7-12,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,Post-graduate,"MySQL, object - oriented, NoSQL, HTML, Angular JS, Java, J2EE, React JS",full-time,1020325.0,6-10,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,ug,"JIRA, SE, SDLC, MySQL, Java, Selenium, STLC, Agile",contract,2409787.0,3-5,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,PG,"S3, CircleCI, NLB, Elasticache, Rake, written, SDLC, ALB",contract,480294.0,3-5,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,ug,"IT Skills, Java, Software Development, SAN, Maven, Core Java, RDBMS, Coding",full-time,1154262.0,3-5,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,,"IT Skills, Python, Software Development, Testing, Cloud, DevOps, Jenkins, TCP",full-time,1151151.0,5-10,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,PG,"AWS SAM, microservices, verbal communication, Java, SSO, CDN, DevOps, SQL",,,2-7,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,ug,"Printing, Engineering services, SAN, Business analysis, Analytical, Market research, Product design, Customer service",contract,1333923.0,4-9,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,Post-graduate,"presentation, analytical, communication, Agile methodologies, IT Skills, Product Management, Engineering services, SAN",contract,1591668.0,6-11,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,UG,"SAN, DOM, TDD, Debugging, Javascript, Agile, Application security, Customer service",contract,2084235.0,7-12,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,Post-graduate,"Engineering services, SAN, MS SQL, GIT, Agile, Business modeling, Customer service, Troubleshooting",full-time,2135655.0,2-3,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,,"Apache Solr, EMR, Jenkins, Kubernetes, AWS Glue, Flask, CloudFormation, Athena",contract,339062.0,5-10,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Ahmedabad,Post-graduate,"Maven, Selenium, XCUITest, Kotlin, TestNG, Agile, Espresso, Cucumber",contract,386586.0,5-10,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,UG,"communication, Continuous Delivery, agile, written, Drupal, AWS, Node, verbal communication",,,7-9,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,PG,"IT Skills, Product Management, Engineering services, Bfsi, Analytical, Agile, Healthcare, Market research",full-time,1021897.0,7-12,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,pg,"Communication, Functional Testing, Selenium, Testing, Analytical, SQL, IT Skills, Automation Testing",full-time,532090.0,3-5,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,UG,"QA, Engineering services, Business process, SAN, Implementation Analyst, Agile, HTML, Customer service",contract,1917540.0,6-10,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,Under-graduate,"T - SQL, SSRS, Microsoft SQL Server, Microsoft SQL Server Reporting Services, SQL Server Reporting Services, Power BI, SQL queries, IT Skills",contract,2367884.0,6-10,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,Post-graduate,"RESTful, RDBMS, SOAP services, OOPs, Java, Python, Gherkin, JUnit",full-time,2096694.0,4-9,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,Under-graduate,"IT Skills, Software Development, Engineering services, SAN, Prototype, Agile, Software development life cycle, Manager Technology",,1524579.0,2-7,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,,"Engineering services, SAN, Customer satisfaction, Agile, Manager Technology, Scrum, Agile methodology, Business modeling",full-time,741447.0,1-3,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,ug,"IT Skills, Cloud, AWS, Engineering services, SAN, NoSQL, orchestration, Technical writing",contract,2087631.0,2-4,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Ahmedabad,pg,"IT Skills, Python, Software Development, Testing, Cloud, RPA, SAN, Agile",full-time,982178.0,10-15,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,Under-graduate,"IT Skills, Java, Python, Testing, Cloud, DevOps, Performance Testing, SAN",contract,621811.0,5-10,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,ug,"Jest, React JS, UX, MobX, structure, MySQL, Webpack, NPM",,806135.0,5-10,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,,"JavaScript, JSON, MobX, Angular JS, Webpack, Mercurial, GraphQL, Babel",full-time,2490216.0,2-3,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,ug,"SauceLabs, JavaScript, Software Testing, Jenkins, HockeyApp, Appium, Perfecto, communication",full-time,1164745.0,3-8,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,PG,"Computer science, Engineering services, IIS, Linux, Networking, Powershell, MIS, devops",full-time,2332750.0,5-10,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,Under-graduate,"Engineering services, Front end, DOM, GIT, Javascript, Agile, Software development life cycle, Technical Lead",contract,2070379.0,3-5,Senior Technical Lead (Data Engineer)
